"Cancer","Gene","cosine"
"Stomach cancer","DPYSL2",0.0157623787306562
"Stomach cancer","COL1A2",0.0157405078920306
"Colorectal cancer","CEACAM5",0.0156179191689075
"Liver cancer","ADM",0.0155484354081849
"Bile duct cancer","KRT19",0.0155221331487737
"Pancreatic Cancer","TP53",0.0154940907058885
"Stomach cancer","TLR2",0.0154640749003439
"Colorectal cancer","FOXP3",0.0154607853477131
"Stomach cancer","CDKN2A",0.0154601767806867
"Liver cancer","IL2",0.0154313981749345
"Colorectal cancer","CCS",0.0154128910852196
"Pancreatic Cancer","SOX15",0.0154032327349136
"Pancreatic Cancer","DDX43",0.0154032327349136
"Colorectal cancer","PDCD5",0.0153960593453928
"Pancreatic Cancer","CA3",0.0153783197323275
"Esophageal cancer","CLEC4C",0.0153412295578425
"Colorectal cancer","GSTM1",0.015279667286269
"Pancreatic Cancer","PCTP",0.0152326012747907
"Colorectal cancer","CDK4",0.0151308395250788
"Pancreatic Cancer","OR13C4",0.0151231739579152
"Bile duct cancer","UGT2B11",0.0151216229357329
"Bile duct cancer","CHST4",0.0151216229357329
"Pancreatic Cancer","VDAC2",0.0151104651103473
"Stomach cancer","MYC",0.0151074377950494
"Stomach cancer","GKN2",0.0150990565936169
"Colorectal cancer","CA2",0.0150781911553139
"Stomach cancer","TFF2",0.0150721396717762
"Colorectal cancer","ALOX15",0.0150436300380535
"Liver cancer","CDKN2A",0.0150393369975509
"Colorectal cancer","RBP5",0.0150341691984931
"Esophageal cancer","SLC11A1",0.0150216844471073
"Esophageal cancer","PLN",0.0150216844471073
"Liver cancer","VIM",0.0149994154853361
"Liver cancer","TNFSF10",0.0149622048269353
"Colorectal cancer","KRT20",0.0149605832472913
"Pancreatic Cancer","TLX2",0.0149292871123009
"Colorectal cancer","GUCA2B",0.0149288635475192
"Liver cancer","TERT",0.0149023585165185
"Colorectal cancer","NFKBIA",0.0148706618261184
"Bile duct cancer","RPL41",0.0148251205252283
"Liver cancer","GAPDH",0.0148202763213636
"Colorectal cancer","TNFSF10",0.0148136799566054
"Bile duct cancer","MUC6",0.0147759338765912
"Colorectal cancer","ST3GAL3",0.0147662285426036
"Colorectal cancer","MKI67",0.0146881111509683
"Liver cancer","PTEN",0.014680464112945
"Colorectal cancer","CBS",0.0145984592125404
"Pancreatic Cancer","CCR6",0.0145889013625701
"Liver cancer","ZHX2",0.0145851394202309
"Stomach cancer","IL2RA",0.0145581707557239
"Colorectal cancer","PEMT",0.0145534294502605
"Liver cancer","MTOR",0.0145300961597958
"Colorectal cancer","ARC",0.0145230726149114
"Pancreatic Cancer","MTOR",0.0145067809004732
"Liver cancer","TGFA",0.0144908472754447
"Pancreatic Cancer","CXCR2",0.0144605884681754
"Liver cancer","TXN",0.0144567002936533
"Stomach cancer","RBMXL1",0.0144488471697682
"Colorectal cancer","PTGS1",0.0144420542690546
"Colorectal cancer","XIAP",0.0144168388989337
"Colorectal cancer","HELZ",0.0144024070930989
"Colorectal cancer","PLAU",0.0143977677767256
"Colorectal cancer","FPGS",0.0143834299658136
"Stomach cancer","FOXP3",0.0143611956297231
"Liver cancer","PSMD10",0.014344128611229
"Pancreatic Cancer","RET",0.0143295970946627
"Colorectal cancer","GRP",0.0143091579466198
"Liver cancer","FOXP3",0.0142556873329801
"Colorectal cancer","RAC1",0.0142554173070243
"Esophageal cancer","FHIT",0.0141736973343939
"Colorectal cancer","NOS2",0.0141652687498103
"Pancreatic Cancer","PAM",0.0141243346269406
"Colorectal cancer","BRCA1",0.0140901121491277
"Stomach cancer","HLA-A",0.0140881464458994
"Colorectal cancer","CSF2",0.0140752866810164
"Colorectal cancer","POR",0.014069459950998
"Liver cancer","BAX",0.0140411313188521
"Pancreatic Cancer","RAC1",0.0140214990260793
"Bile duct cancer","BICC1",0.0139971595941709
"Stomach cancer","TWSG1",0.0139722034765639
"Bile duct cancer","KAT5",0.0139425620117229
"Colorectal cancer","TGFB1",0.01390544822639
"Pancreatic Cancer","SYNE1",0.0138629094614223
"Pancreatic Cancer","UTRN",0.0138629094614223
"Pancreatic Cancer","PSMD11",0.0138629094614223
"Pancreatic Cancer","LSM8",0.0138629094614223
"Pancreatic Cancer","SMC4",0.0138629094614223
"Pancreatic Cancer","EIF2B5",0.0138629094614223
"Pancreatic Cancer","RPL13",0.0138629094614223
"Pancreatic Cancer","HBA1",0.0138629094614223
"Colorectal cancer","PHIP",0.013859711595111
"Esophageal cancer","CYP1A1",0.0138521480773155
"Stomach cancer","HAND1",0.013807784792771
"Stomach cancer","SNHG1",0.0137920813893242
"Colorectal cancer","LEF1",0.013759599645998
"Esophageal cancer","EGFR",0.0137487672806437
"Pancreatic Cancer","FAS",0.0137239697301824
"Esophageal cancer","GPT",0.0137144205495082
"Esophageal cancer","ADH1B",0.0136694563199951
"Pancreatic Cancer","ARTN",0.0136643892610572
"Esophageal cancer","ZRANB3",0.0136560767700976
"Liver cancer","ACTB",0.0136145999520929
"Esophageal cancer","ALDH2",0.0135955617911057
"Colorectal cancer","XRCC1",0.0135902904792404
"Pancreatic Cancer","CAT",0.0135604320546431
"Colorectal cancer","SELE",0.0135572447477229
"Stomach cancer","FPR3",0.0135457942216577
"Stomach cancer","ERCC1",0.0135446190594013
"Colorectal cancer","SMAD7",0.013521989690574
"Pancreatic Cancer","PARPBP",0.0135170891234489
"Bile duct cancer","POMP",0.013498503948814
"Pancreatic Cancer","ALK",0.0134800486948123
"Stomach cancer","SCGB2A1",0.0134755204849048
"Colorectal cancer","IGF1",0.013473736480285
"Colorectal cancer","CEACAM1",0.0134534845081346
"Stomach cancer","CDKN1B",0.0134504852054562
"Colorectal cancer","CD34",0.0134489343547907
"Bile duct cancer","SEC23A",0.0134414426095403
"Colorectal cancer","NOD2",0.0134276906659941
"Liver cancer","CLIC4",0.0133897054395581
"Liver cancer","PPARA",0.0133868355556354
"Colorectal cancer","LEPR",0.0133676491542166
"Colorectal cancer","MYB",0.0133672372109521
"Pancreatic Cancer","GSS",0.0133565866197547
"Pancreatic Cancer","CDK4",0.0133459985688566
"Pancreatic Cancer","PTCH1",0.0133419190134024
"Esophageal cancer","SMUG1",0.0132754565821693
"Colorectal cancer","UGT1A1",0.0132653004791756
"Pancreatic Cancer","SOD3",0.0132437155135408
"Pancreatic Cancer","RELB",0.0132402205978121
"Stomach cancer","SHH",0.0132316664291434
"Colorectal cancer","CD3E",0.0132255842478642
"Pancreatic Cancer","CELA1",0.0132099220504147
"Esophageal cancer","EPHX1",0.0132084942562169
"Bile duct cancer","PIK3C2G",0.0132014168486557
"Liver cancer","MAT1A",0.0131847735942109
"Stomach cancer","ZNRD1",0.0131597673666333
"Colorectal cancer","CHEK2",0.0131499925457632
"Bile duct cancer","SPATA20",0.0131492373354199
"Stomach cancer","IRX2",0.0131353156088802
"Stomach cancer","CDKL1",0.0131353156088802
"Stomach cancer","PIP5KL1",0.0131353156088802
"Stomach cancer","REG4",0.0131320079408857
"Stomach cancer","IL2",0.013101962070122
"Colorectal cancer","ATM",0.0130983630321496
"Stomach cancer","HLA-DQA1",0.0130914854263983
"Stomach cancer","HOXA10",0.0130906110959304
"Stomach cancer","MTMR3",0.0130837885566841
"Pancreatic Cancer","LTB4R",0.0130791964638104
"Stomach cancer","RHO",0.0130786896646236
"Esophageal cancer","ARC",0.0130758314919621
"Pancreatic Cancer","MTNR1B",0.0130479131052412
"Stomach cancer","BCL2L10",0.0130359472466651
"Colorectal cancer","MMP9",0.0130146311163542
"Colorectal cancer","IGF2-AS",0.0130127922543222
"Colorectal cancer","MUT",0.0130084706448289
"Esophageal cancer","SLC4A3",0.0130079381098516
"Pancreatic Cancer","NTS",0.0129965308486872
"Pancreatic Cancer","MAL2",0.0129863138786373
"Stomach cancer","SCGN",0.0129835190149885
"Colorectal cancer","MTOR",0.0129788281703253
"Colorectal cancer","IGFBP3",0.0129613403968716
"Esophageal cancer","BAX",0.0129488053985224
"Colorectal cancer","CD80",0.0129420290038742
"Liver cancer","HIF1A",0.012933410840436
"Bile duct cancer","PCNA",0.0129274765945906
"Liver cancer","TNS1",0.0129124034587459
"Stomach cancer","GAST",0.0129088573443933
"Bile duct cancer","AHCYL1",0.0129087025061134
"Stomach cancer","JAK2",0.0128886832332373
"Pancreatic Cancer","BNIP3",0.0128616593398851
"Stomach cancer","OLFM4",0.0128595660044448
"Esophageal cancer","SLC22A16",0.0128285841352027
"Stomach cancer","POR",0.0128022318467748
"Pancreatic Cancer","DPM1",0.0127965318105436
"Colorectal cancer","LGR5",0.0127453750176728
"Pancreatic Cancer","PNP",0.0127438681247882
"Stomach cancer","PTPN11",0.0127326994056634
"Liver cancer","CD69",0.0127207663317167
"Bile duct cancer","CAT",0.0127091383511141
"Stomach cancer","OMP",0.0127066373028704
"Colorectal cancer","PPARG",0.0127042975325415
"Pancreatic Cancer","SLC39A4",0.0127028167713233
"Esophageal cancer","GP5",0.0127017250116043
"Pancreatic Cancer","PCM1",0.0126895181150789
"Liver cancer","CDKN1A",0.0126821436941891
"Liver cancer","CDH2",0.0126743542716146
"Pancreatic Cancer","MORF4",0.0126729054830063
"Bile duct cancer","KRT7",0.0126484108005552
"Liver cancer","ABCB4",0.0126466872492204
"Colorectal cancer","NOV",0.0126431199473449
"Liver cancer","MCL1",0.0126429087315856
"Stomach cancer","RHOA",0.0126270554363861
"Bile duct cancer","CKAP4",0.012601352446444
"Bile duct cancer","NAE1",0.012601352446444
"Bile duct cancer","KDM8",0.012601352446444
"Bile duct cancer","ITIH1",0.012601352446444
"Bile duct cancer","TMC5",0.012601352446444
"Stomach cancer","FBXO11",0.0125997129164642
"Liver cancer","TEK",0.0125967027193693
"Liver cancer","PRDM2",0.0125912696948739
"Bile duct cancer","EGF",0.0125848396875424
"Colorectal cancer","TCF7",0.0125780294752081
"Esophageal cancer","FARSB",0.0125767994833379
"Colorectal cancer","PTK2",0.0125504212008117
"Pancreatic Cancer","AKT2",0.0125497157204465
"Pancreatic Cancer","PSMA1",0.0125480318092832
"Stomach cancer","RAB34",0.0125382558084765
"Colorectal cancer","MIP",0.0125287418406276
"Stomach cancer","CAT",0.012519205368069
"Esophageal cancer","BANF1",0.0125180703725894
"Esophageal cancer","MMP24",0.0125180703725894
"Esophageal cancer","PARL",0.0125180703725894
"Esophageal cancer","SKAP2",0.0125180703725894
"Esophageal cancer","SNN",0.0125180703725894
"Stomach cancer","COPS8",0.0125134890786209
"Colorectal cancer","ADIPOQ",0.0125120817781914
"Stomach cancer","SDS",0.0124963883546063
"Stomach cancer","ARC",0.0124758027283364
"Colorectal cancer","AGT",0.0124720981435352
"Pancreatic Cancer","BHLHE40",0.0124617594608149
"Stomach cancer","CCK",0.0124598620463654
"Pancreatic Cancer","SSTR2",0.0124523606047931
"Colorectal cancer","HPGD",0.0124415889971872
"Stomach cancer","FHIT",0.0124375143248948
"Esophageal cancer","BID",0.0124202109090745
"Stomach cancer","POT1",0.0124055847509369
"Esophageal cancer","CRMP1",0.0123922574269598
"Bile duct cancer","PBRM1",0.0123873630706137
"Pancreatic Cancer","AFP",0.0123854699528092
"Stomach cancer","AGA",0.0123809797069197
"Stomach cancer","WDR11",0.0123701780786612
"Colorectal cancer","SRC",0.0123626079824977
"Liver cancer","CCNE1",0.0123530398088148
"Colorectal cancer","TLR4",0.0123461697904511
"Stomach cancer","MAPK3",0.0123460331814637
"Pancreatic Cancer","EEF1A2",0.012344980070188
"Pancreatic Cancer","MAPT",0.0123225861879309
"Pancreatic Cancer","COMP",0.0123225861879309
"Pancreatic Cancer","BMP5",0.0123225861879309
"Stomach cancer","ARFIP2",0.0122515381840906
"Liver cancer","KRT8",0.0122355995400035
"Pancreatic Cancer","PLOD3",0.0122319789365491
"Stomach cancer","GRP",0.0122276109523539
"Bile duct cancer","MAP3K4",0.0122251075676057
"Stomach cancer","ADM",0.0122241743274089
"Bile duct cancer","BIRC7",0.0122236397754886
"Colorectal cancer","DNMT1",0.0121830637663564
"Colorectal cancer","NODAL",0.0121685072985066
"Esophageal cancer","CD4",0.0121583989895396
"Colorectal cancer","ERCC1",0.0121504920665969
"Stomach cancer","PRKCA",0.0121417235290151
"Pancreatic Cancer","IGHG1",0.0121300457787445
"Pancreatic Cancer","TRPC1",0.0121215236023515
"Liver cancer","MIR200A",0.0121131907292187
"Esophageal cancer","MTHFR",0.0121121756390549
"Stomach cancer","RUNX1",0.0120811562196345
"Colorectal cancer","CACNA1G",0.012080964354116
"Liver cancer","EPHX1",0.0120754050891008
"Stomach cancer","PHF10",0.0120624980851979
"Colorectal cancer","DVL1",0.0120388142855581
"Esophageal cancer","SRP68",0.0120364244414978
"Stomach cancer","MAPK8",0.0120221639290121
"Pancreatic Cancer","NES",0.0120057911278208
"Stomach cancer","A4GNT",0.011993336821988
"Liver cancer","NOTCH1",0.0119846917170918
"Pancreatic Cancer","LOX",0.0119690996570012
"Esophageal cancer","SCN8A",0.0119645088918251
"Liver cancer","GNMT",0.0119596528277266
"Colorectal cancer","CYP2C9",0.0119445515387981
"Pancreatic Cancer","SMURF1",0.0119398447682919
"Bile duct cancer","HOMER1",0.0119381233703154
"Colorectal cancer","VIL1",0.0119371598844616
"Liver cancer","MMP9",0.0119327841365781
"Colorectal cancer","HK2",0.011924937285381
"Stomach cancer","TMC1",0.0119128002585025
"Pancreatic Cancer","HLA-A",0.011907111150773
"Colorectal cancer","FZD1",0.0118630585068408
"Stomach cancer","INHBA",0.0118615277611371
"Colorectal cancer","HPGDS",0.0118510573720317
"Pancreatic Cancer","PYY",0.0118393287583959
"Stomach cancer","CRP",0.0118307903003538
"Stomach cancer","CA1",0.0118280619630638
"Stomach cancer","EIF4G2",0.0118217840479922
"Stomach cancer","AMT",0.0118217840479922
"Stomach cancer","AFF3",0.0118217840479922
"Stomach cancer","VIM",0.0118042288057718
"Bile duct cancer","ZSCAN18",0.0117867291462284
"Bile duct cancer","MUC2",0.0117862332625608
"Stomach cancer","PRNP",0.0117859909768076
"Bile duct cancer","SERPINB6",0.0117851894997839
